Perioden;Benzine;Diesel;Lpg
2015 zondag 17 mei;1,641;1,31;0,65
2015 maandag 18 mei;1,641;1,312;0,652
2015 dinsdag 19 mei;1,64;1,313;0,654
2015 woensdag 20 mei;1,639;1,313;0,647
2015 donderdag 21 mei;1,634;1,308;0,642
2015 vrijdag 22 mei;1,635;1,309;0,642
2015 zaterdag 23 mei;1,635;1,308;0,638
2015 zondag 24 mei;1,636;1,309;0,634
2015 maandag 25 mei;1,636;1,309;0,633
2015 dinsdag 26 mei;1,637;1,31;0,643
2015 woensdag 27 mei;1,64;1,313;0,639
2015 donderdag 28 mei;1,639;1,312;0,638
2015 vrijdag 29 mei;1,64;1,31;0,647
2015 zaterdag 30 mei;1,637;1,306;0,637
2015 zondag 31 mei;1,639;1,306;0,627
2015 maandag 1 juni;1,638;1,304;0,637
2015 dinsdag 2 juni;1,644;1,309;0,629
2015 woensdag 3 juni;1,648;1,31;0,639
2015 donderdag 4 juni;1,647;1,31;0,632
2015 vrijdag 5 juni;1,647;1,309;0,632
2015 zaterdag 6 juni;1,644;1,303;0,626
2015 zondag 7 juni;1,645;1,302;0,634
2015 maandag 8 juni;1,645;1,304;0,631
2015 dinsdag 9 juni;1,645;1,302;0,622
2015 woensdag 10 juni;1,644;1,301;0,619
2015 donderdag 11 juni;1,652;1,302;0,618
2015 vrijdag 12 juni;1,65;1,302;0,621
2015 zaterdag 13 juni;1,655;1,301;0,611
2015 zondag 14 juni;1,662;1,302;0,614
2015 maandag 15 juni;1,664;1,304;0,618
2015 dinsdag 16 juni;1,667;1,305;0,61
2015 woensdag 17 juni;1,667;1,305;0,615
2015 donderdag 18 juni;1,665;1,304;0,609
2015 vrijdag 19 juni;1,667;1,305;0,607
2015 zaterdag 20 juni;1,664;1,299;0,606
2015 zondag 21 juni;1,667;1,299;0,601
2015 maandag 22 juni;1,668;1,301;0,607
2015 dinsdag 23 juni;1,665;1,297;0,611
2015 woensdag 24 juni;1,66;1,296;0,603
2015 donderdag 25 juni;1,656;1,295;0,608
2015 vrijdag 26 juni;1,656;1,295;0,606
2015 zaterdag 27 juni;1,653;1,293;0,597
2015 zondag 28 juni;1,655;1,293;0,595
2015 maandag 29 juni;1,655;1,295;0,608
2015 dinsdag 30 juni;1,653;1,295;0,603
2015 woensdag 1 juli;1,654;1,295;0,607
2015 donderdag 2 juli;1,652;1,293;0,608
2015 vrijdag 3 juli;1,657;1,294;0,599
2015 zaterdag 4 juli;1,659;1,294;0,603
2015 zondag 5 juli;1,66;1,293;0,599
2015 maandag 6 juli;1,664;1,295;0,604
2015 dinsdag 7 juli;1,669;1,294;0,607
2015 woensdag 8 juli;1,673;1,289;0,605
2015 donderdag 9 juli;1,672;1,285;0,6
2015 vrijdag 10 juli;1,679;1,284;0,609
2015 zaterdag 11 juli;1,68;1,28;0,607
2015 zondag 12 juli;1,682;1,28;0,592
2015 maandag 13 juli;1,684;1,281;0,609
2015 dinsdag 14 juli;1,685;1,28;0,61
2015 woensdag 15 juli;1,678;1,275;0,602
2015 donderdag 16 juli;1,669;1,267;0,603
2015 vrijdag 17 juli;1,665;1,262;0,605
2015 zaterdag 18 juli;1,661;1,254;0,599
2015 zondag 19 juli;1,662;1,254;0,6
2015 maandag 20 juli;1,662;1,255;0,599
2015 dinsdag 21 juli;1,66;1,251;0,608
2015 woensdag 22 juli;1,657;1,245;0,604
2015 donderdag 23 juli;1,65;1,242;0,608
2015 vrijdag 24 juli;1,65;1,242;0,605
2015 zaterdag 25 juli;1,645;1,239;0,603
2015 zondag 26 juli;1,647;1,24;0,601
2015 maandag 27 juli;1,646;1,239;0,605
2015 dinsdag 28 juli;1,642;1,233;0,608
2015 woensdag 29 juli;1,635;1,225;0,604
2015 donderdag 30 juli;1,627;1,22;0,602
2015 vrijdag 31 juli;1,628;1,22;0,602
2015 zaterdag 1 augustus;1,628;1,218;0,597
2015 zondag 2 augustus;1,629;1,219;0,603
2015 maandag 3 augustus;1,631;1,22;0,601
2015 dinsdag 4 augustus;1,632;1,218;0,601
2015 woensdag 5 augustus;1,627;1,215;0,607
2015 donderdag 6 augustus;1,624;1,21;0,598
2015 vrijdag 7 augustus;1,623;1,209;0,599
2015 zaterdag 8 augustus;1,617;1,203;0,592
2015 zondag 9 augustus;1,618;1,203;0,586
2015 maandag 10 augustus;1,617;1,204;0,596
2015 dinsdag 11 augustus;1,61;1,201;0,6
2015 woensdag 12 augustus;1,604;1,197;0,598
2015 donderdag 13 augustus;1,597;1,194;0,585
2015 vrijdag 14 augustus;1,596;1,194;0,587
2015 zaterdag 15 augustus;1,591;1,193;0,588
2015 zondag 16 augustus;1,591;1,193;0,578
2015 maandag 17 augustus;1,593;1,194;0,589
2015 dinsdag 18 augustus;1,589;1,194;0,585
2015 woensdag 19 augustus;1,58;1,194;0,579
2015 donderdag 20 augustus;1,572;1,192;0,578
2015 vrijdag 21 augustus;1,568;1,19;0,572
2015 zaterdag 22 augustus;1,558;1,181;0,57
2015 zondag 23 augustus;1,558;1,181;0,561
2015 maandag 24 augustus;1,558;1,181;0,571
2015 dinsdag 25 augustus;1,548;1,172;0,567
2015 woensdag 26 augustus;1,538;1,163;0,57
2015 donderdag 27 augustus;1,529;1,157;0,562
2015 vrijdag 28 augustus;1,525;1,156;0,556
2015 zaterdag 29 augustus;1,52;1,155;0,56
2015 zondag 30 augustus;1,52;1,155;0,551
2015 maandag 31 augustus;1,521;1,157;0,558
2015 dinsdag 1 september;1,521;1,165;0,557
2015 woensdag 2 september;1,521;1,174;0,56
2015 donderdag 3 september;1,519;1,175;0,566
2015 vrijdag 4 september;1,52;1,181;0,568
2015 zaterdag 5 september;1,517;1,186;0,561
2015 zondag 6 september;1,519;1,188;0,557
2015 maandag 7 september;1,52;1,19;0,567
2015 dinsdag 8 september;1,52;1,196;0,574
2015 woensdag 9 september;1,518;1,197;0,57
2015 donderdag 10 september;1,518;1,199;0,57
2015 vrijdag 11 september;1,52;1,2;0,572
2015 zaterdag 12 september;1,517;1,199;0,574
2015 zondag 13 september;1,518;1,199;0,567
2015 maandag 14 september;1,519;1,201;0,568
2015 dinsdag 15 september;1,516;1,2;0,575
2015 woensdag 16 september;1,511;1,198;0,571
2015 donderdag 17 september;1,507;1,198;0,573
2015 vrijdag 18 september;1,509;1,199;0,577
2015 zaterdag 19 september;1,505;1,193;0,572
2015 zondag 20 september;1,507;1,194;0,571
2015 maandag 21 september;1,508;1,196;0,567
2015 dinsdag 22 september;1,508;1,194;0,575
2015 woensdag 23 september;1,507;1,193;0,573
2015 donderdag 24 september;1,506;1,193;0,572
2015 vrijdag 25 september;1,503;1,189;0,572
2015 zaterdag 26 september;1,495;1,185;0,575
2015 zondag 27 september;1,497;1,184;0,562
2015 maandag 28 september;1,497;1,186;0,571
2015 dinsdag 29 september;1,492;1,185;0,579
2015 woensdag 30 september;1,487;1,182;0,578
2015 donderdag 1 oktober;1,484;1,181;0,577
2015 vrijdag 2 oktober;1,484;1,184;0,579
2015 zaterdag 3 oktober;1,481;1,181;0,573
2015 zondag 4 oktober;1,483;1,181;0,565
2015 maandag 5 oktober;1,483;1,185;0,582
2015 dinsdag 6 oktober;1,483;1,184;0,576
2015 woensdag 7 oktober;1,484;1,187;0,58
2015 donderdag 8 oktober;1,488;1,19;0,58
2015 vrijdag 9 oktober;1,492;1,193;0,578
2015 zaterdag 10 oktober;1,493;1,196;0,583
2015 zondag 11 oktober;1,495;1,197;0,583
2015 maandag 12 oktober;1,496;1,2;0,589
2015 dinsdag 13 oktober;1,497;1,201;0,588
2015 woensdag 14 oktober;1,496;1,199;0,586
2015 donderdag 15 oktober;1,491;1,195;0,599
2015 vrijdag 16 oktober;1,489;1,193;0,598
2015 zaterdag 17 oktober;1,483;1,187;0,591
2015 zondag 18 oktober;1,486;1,188;0,586
2015 maandag 19 oktober;1,486;1,19;0,593
2015 dinsdag 20 oktober;1,482;1,186;0,595
2015 woensdag 21 oktober;1,477;1,179;0,594
2015 donderdag 22 oktober;1,468;1,172;0,596
2015 vrijdag 23 oktober;1,468;1,172;0,592
2015 zaterdag 24 oktober;1,466;1,17;0,591
2015 zondag 25 oktober;1,468;1,17;0,589
2015 maandag 26 oktober;1,469;1,172;0,592
2015 dinsdag 27 oktober;1,468;1,172;0,592
2015 woensdag 28 oktober;1,467;1,17;0,6
2015 donderdag 29 oktober;1,466;1,169;0,594
2015 vrijdag 30 oktober;1,476;1,175;0,6
2015 zaterdag 31 oktober;1,476;1,173;0,596
2015 zondag 1 november;1,477;1,173;0,588
2015 maandag 2 november;1,48;1,175;0,596
2015 dinsdag 3 november;1,486;1,18;0,608
2015 woensdag 4 november;1,494;1,187;0,6
2015 donderdag 5 november;1,503;1,196;0,612
2015 vrijdag 6 november;1,507;1,199;0,603
2015 zaterdag 7 november;1,51;1,198;0,61
2015 zondag 8 november;1,512;1,198;0,607
2015 maandag 9 november;1,515;1,202;0,61
2015 dinsdag 10 november;1,521;1,206;0,615
2015 woensdag 11 november;1,525;1,207;0,617
2015 donderdag 12 november;1,526;1,208;0,612
2015 vrijdag 13 november;1,532;1,208;0,618
2015 zaterdag 14 november;1,53;1,203;0,618
2015 zondag 15 november;1,532;1,204;0,615
2015 maandag 16 november;1,533;1,206;0,614
2015 dinsdag 17 november;1,528;1,199;0,612
2015 woensdag 18 november;1,52;1,195;0,621
2015 donderdag 19 november;1,512;1,191;0,62
2015 vrijdag 20 november;1,509;1,191;0,623
2015 zaterdag 21 november;1,503;1,186;0,616
2015 zondag 22 november;1,505;1,186;0,607
2015 maandag 23 november;1,505;1,188;0,615
2015 dinsdag 24 november;1,497;1,184;0,623
2015 woensdag 25 november;1,492;1,181;0,616
2015 donderdag 26 november;1,491;1,181;0,61
2015 vrijdag 27 november;1,494;1,182;0,62
2015 zaterdag 28 november;1,49;1,18;0,613
2015 zondag 29 november;1,49;1,18;0,603
2015 maandag 30 november;1,493;1,182;0,612
2015 dinsdag 1 december;1,493;1,177;0,613
2015 woensdag 2 december;1,49;1,172;0,618
2015 donderdag 3 december;1,486;1,168;0,613
2015 vrijdag 4 december;1,484;1,162;0,613
2015 zaterdag 5 december;1,48;1,157;0,608
2015 zondag 6 december;1,483;1,157;0,608
2015 maandag 7 december;1,484;1,159;0,615
2015 dinsdag 8 december;1,482;1,158;0,611
2015 woensdag 9 december;1,476;1,151;0,613
2015 donderdag 10 december;1,469;1,143;0,614
2015 vrijdag 11 december;1,465;1,139;0,61
2015 zaterdag 12 december;1,46;1,129;0,609
2015 zondag 13 december;1,462;1,129;0,606
2015 maandag 14 december;1,463;1,131;0,609
2015 dinsdag 15 december;1,459;1,122;0,619
2015 woensdag 16 december;1,452;1,113;0,611
2015 donderdag 17 december;1,447;1,107;0,608
2015 vrijdag 18 december;1,447;1,101;0,6
2015 zaterdag 19 december;1,444;1,094;0,606
2015 zondag 20 december;1,447;1,094;0,598
2015 maandag 21 december;1,447;1,096;0,606
2015 dinsdag 22 december;1,446;1,087;0,595
2015 woensdag 23 december;1,444;1,081;0,598
2015 donderdag 24 december;1,441;1,078;0,603
2015 vrijdag 25 december;1,439;1,071;0,606
2015 zaterdag 26 december;1,437;1,07;0,601
2015 zondag 27 december;1,439;1,07;0,592
2015 maandag 28 december;1,44;1,071;0,599
2015 dinsdag 29 december;1,437;1,068;0,603
2015 woensdag 30 december;1,436;1,064;0,602
2015 donderdag 31 december;1,435;1,067;0,602
2016 vrijdag 1 januari;1,438;1,067;0,601
2016 zaterdag 2 januari;1,436;1,067;0,584
2016 zondag 3 januari;1,438;1,067;0,591
2016 maandag 4 januari;1,44;1,07;0,591
2016 dinsdag 5 januari;1,444;1,073;0,588
2016 woensdag 6 januari;1,449;1,072;0,593
2016 donderdag 7 januari;1,448;1,072;0,59
2016 vrijdag 8 januari;1,447;1,071;0,592
2016 zaterdag 9 januari;1,444;1,067;0,593
2016 zondag 10 januari;1,445;1,067;0,585
2016 maandag 11 januari;1,446;1,07;0,59
2016 dinsdag 12 januari;1,44;1,064;0,597
2016 woensdag 13 januari;1,436;1,059;0,595
2016 donderdag 14 januari;1,433;1,056;0,588
2016 vrijdag 15 januari;1,434;1,056;0,592
2016 zaterdag 16 januari;1,427;1,046;0,583
2016 zondag 17 januari;1,427;1,046;0,582
2016 maandag 18 januari;1,428;1,048;0,596
2016 dinsdag 19 januari;1,422;1,041;0,594
2016 woensdag 20 januari;1,419;1,036;0,586
2016 donderdag 21 januari;1,414;1,029;0,579
2016 vrijdag 22 januari;1,414;1,024;0,579
2016 zaterdag 23 januari;1,414;1,022;0,576
2016 zondag 24 januari;1,415;1,023;0,577
2016 maandag 25 januari;1,417;1,026;0,572
2016 dinsdag 26 januari;1,42;1,025;0,576
2016 woensdag 27 januari;1,419;1,023;0,582
2016 donderdag 28 januari;1,418;1,023;0,573
2016 vrijdag 29 januari;1,421;1,03;0,575
2016 zaterdag 30 januari;1,422;1,031;0,572
2016 zondag 31 januari;1,423;1,031;0,574
2016 maandag 1 februari;1,425;1,034;0,57
2016 dinsdag 2 februari;1,429;1,037;0,569
2016 woensdag 3 februari;1,428;1,037;0,577
2016 donderdag 4 februari;1,424;1,036;0,569
2016 vrijdag 5 februari;1,425;1,044;0,574
2016 zaterdag 6 februari;1,418;1,043;0,564
2016 zondag 7 februari;1,42;1,043;0,556
2016 maandag 8 februari;1,42;1,046;0,56
2016 dinsdag 9 februari;1,416;1,046;0,569
2016 woensdag 10 februari;1,409;1,044;0,564
2016 donderdag 11 februari;1,398;1,041;0,565
2016 vrijdag 12 februari;1,393;1,038;0,566
2016 zaterdag 13 februari;1,388;1,033;0,563
2016 zondag 14 februari;1,388;1,034;0,561
2016 maandag 15 februari;1,389;1,036;0,558
2016 dinsdag 16 februari;1,388;1,036;0,563
2016 woensdag 17 februari;1,388;1,034;0,559
2016 donderdag 18 februari;1,38;1,034;0,564
2016 vrijdag 19 februari;1,38;1,043;0,561
2016 zaterdag 20 februari;1,377;1,042;0,56
2016 zondag 21 februari;1,379;1,042;0,547
2016 maandag 22 februari;1,38;1,045;0,564
2016 dinsdag 23 februari;1,374;1,045;0,557
2016 woensdag 24 februari;1,371;1,044;0,558
2016 donderdag 25 februari;1,368;1,042;0,56
2016 vrijdag 26 februari;1,369;1,045;0,562
2016 zaterdag 27 februari;1,375;1,05;0,563
2016 zondag 28 februari;1,377;1,05;0,555
2016 maandag 29 februari;1,379;1,053;0,554
2016 dinsdag 1 maart;1,385;1,055;0,557
2016 woensdag 2 maart;1,384;1,06;0,555
2016 donderdag 3 maart;1,382;1,062;0,557
2016 vrijdag 4 maart;1,385;1,064;0,552
2016 zaterdag 5 maart;1,383;1,063;0,558
2016 zondag 6 maart;1,385;1,062;0,56
2016 maandag 7 maart;1,385;1,065;0,558
2016 dinsdag 8 maart;1,391;1,072;0,558
2016 woensdag 9 maart;1,4;1,08;0,565
2016 donderdag 10 maart;1,404;1,089;0,56
2016 vrijdag 11 maart;1,413;1,093;0,56
2016 zaterdag 12 maart;1,413;1,097;0,556
2016 zondag 13 maart;1,415;1,097;0,563
2016 maandag 14 maart;1,416;1,1;0,558
2016 dinsdag 15 maart;1,415;1,101;0,561
2016 woensdag 16 maart;1,414;1,099;0,561
2016 donderdag 17 maart;1,412;1,099;0,568
2016 vrijdag 18 maart;1,411;1,103;0,569
2016 zaterdag 19 maart;1,407;1,101;0,565
2016 zondag 20 maart;1,409;1,102;0,559
2016 maandag 21 maart;1,41;1,104;0,566
2016 dinsdag 22 maart;1,41;1,104;0,569
2016 woensdag 23 maart;1,41;1,103;0,567
2016 donderdag 24 maart;1,414;1,103;0,569
2016 vrijdag 25 maart;1,424;1,103;0,573
2016 zaterdag 26 maart;1,423;1,101;0,564
2016 zondag 27 maart;1,427;1,101;0,563
2016 maandag 28 maart;1,426;1,102;0,559
2016 dinsdag 29 maart;1,426;1,104;0,565
2016 woensdag 30 maart;1,435;1,1;0,572
2016 donderdag 31 maart;1,444;1,097;0,561
2016 vrijdag 1 april;1,449;1,098;0,571
2016 zaterdag 2 april;1,451;1,091;0,563
2016 zondag 3 april;1,453;1,091;0,573
2016 maandag 4 april;1,455;1,092;0,568
2016 dinsdag 5 april;1,453;1,088;0,575
2016 woensdag 6 april;1,452;1,08;0,567
2016 donderdag 7 april;1,447;1,073;0,573
2016 vrijdag 8 april;1,447;1,07;0,564
2016 zaterdag 9 april;1,449;1,069;0,562
2016 zondag 10 april;1,452;1,07;0,555
2016 maandag 11 april;1,454;1,072;0,565
2016 dinsdag 12 april;1,461;1,076;0,57
2016 woensdag 13 april;1,465;1,083;0,568
2016 donderdag 14 april;1,471;1,091;0,566
2016 vrijdag 15 april;1,48;1,095;0,57
2016 zaterdag 16 april;1,479;1,092;0,566
2016 zondag 17 april;1,482;1,092;0,569
2016 maandag 18 april;1,483;1,095;0,567
2016 dinsdag 19 april;1,479;1,095;0,567
2016 woensdag 20 april;1,475;1,094;0,574
2016 donderdag 21 april;1,474;1,095;0,565
2016 vrijdag 22 april;1,477;1,103;0,566
2016 zaterdag 23 april;1,475;1,105;0,563
2016 zondag 24 april;1,476;1,106;0,564
2016 maandag 25 april;1,478;1,108;0,566
2016 dinsdag 26 april;1,479;1,11;0,567
2016 woensdag 27 april;1,477;1,108;0,571
2016 donderdag 28 april;1,477;1,11;0,566
2016 vrijdag 29 april;1,485;1,119;0,57
2016 zaterdag 30 april;1,489;1,122;0,564
2016 zondag 1 mei;1,491;1,123;0,559
2016 maandag 2 mei;1,493;1,125;0,568
2016 dinsdag 3 mei;1,494;1,126;0,563
2016 woensdag 4 mei;1,493;1,121;0,565
2016 donderdag 5 mei;1,486;1,118;0,562
2016 vrijdag 6 mei;1,488;1,12;0,567
2016 zaterdag 7 mei;1,484;1,114;0,576
2016 zondag 8 mei;1,487;1,114;0,559
2016 maandag 9 mei;1,487;1,117;0,561
2016 dinsdag 10 mei;1,485;1,111;0,569
2016 woensdag 11 mei;1,479;1,108;0,56
2016 donderdag 12 mei;1,475;1,112;0,565
2016 vrijdag 13 mei;1,478;1,122;0,563
2016 zaterdag 14 mei;1,483;1,124;0,567
2016 zondag 15 mei;1,486;1,126;0,555
2016 maandag 16 mei;1,486;1,126;0,554
2016 dinsdag 17 mei;1,487;1,128;0,561
2016 woensdag 18 mei;1,492;1,134;0,561
2016 donderdag 19 mei;1,499;1,142;0,558
2016 vrijdag 20 mei;1,503;1,145;0,562
2016 zaterdag 21 mei;1,503;1,144;0,554
2016 zondag 22 mei;1,504;1,144;0,546
2016 maandag 23 mei;1,505;1,146;0,559
2016 dinsdag 24 mei;1,505;1,152;0,555
2016 woensdag 25 mei;1,51;1,157;0,558
2016 donderdag 26 mei;1,518;1,164;0,56
2016 vrijdag 27 mei;1,527;1,171;0,567
2016 zaterdag 28 mei;1,527;1,172;0,561
2016 zondag 29 mei;1,528;1,173;0,558
2016 maandag 30 mei;1,531;1,176;0,566
2016 dinsdag 31 mei;1,53;1,177;0,563
2016 woensdag 1 juni;1,528;1,176;0,558
2016 donderdag 2 juni;1,526;1,174;0,567
2016 vrijdag 3 juni;1,528;1,175;0,569
2016 zaterdag 4 juni;1,525;1,17;0,563
2016 zondag 5 juni;1,528;1,171;0,559
2016 maandag 6 juni;1,529;1,173;0,562
2016 dinsdag 7 juni;1,528;1,171;0,568
2016 woensdag 8 juni;1,522;1,168;0,569
2016 donderdag 9 juni;1,517;1,172;0,564
2016 vrijdag 10 juni;1,519;1,175;0,568
2016 zaterdag 11 juni;1,517;1,174;0,562
2016 zondag 12 juni;1,518;1,174;0,563
2016 maandag 13 juni;1,519;1,176;0,572
2016 dinsdag 14 juni;1,519;1,176;0,564
2016 woensdag 15 juni;1,518;1,174;0,566
2016 donderdag 16 juni;1,516;1,171;0,565
2016 vrijdag 17 juni;1,517;1,169;0,564
2016 zaterdag 18 juni;1,513;1,164;0,558
2016 zondag 19 juni;1,515;1,165;0,553
2016 maandag 20 juni;1,517;1,167;0,566
2016 dinsdag 21 juni;1,516;1,169;0,569
2016 woensdag 22 juni;1,517;1,168;0,563
2016 donderdag 23 juni;1,517;1,168;0,565
2016 vrijdag 24 juni;1,518;1,17;0,563
2016 zaterdag 25 juni;1,517;1,166;0,567
2016 zondag 26 juni;1,519;1,166;0,558
2016 maandag 27 juni;1,521;1,169;0,568
2016 dinsdag 28 juni;1,519;1,168;0,567
2016 woensdag 29 juni;1,516;1,165;0,563
2016 donderdag 30 juni;1,515;1,165;0,563
2016 vrijdag 1 juli;1,517;1,168;0,571
2016 zaterdag 2 juli;1,51;1,161;0,561
2016 zondag 3 juli;1,513;1,162;0,566
2016 maandag 4 juli;1,513;1,164;0,561
2016 dinsdag 5 juli;1,51;1,161;0,564
2016 woensdag 6 juli;1,502;1,154;0,559
2016 donderdag 7 juli;1,495;1,15;0,554
2016 vrijdag 8 juli;1,492;1,15;0,564
2016 zaterdag 9 juli;1,482;1,143;0,557
2016 zondag 10 juli;1,483;1,143;0,555
2016 maandag 11 juli;1,483;1,146;0,555
2016 dinsdag 12 juli;1,477;1,14;0,554
2016 woensdag 13 juli;1,471;1,138;0,555
2016 donderdag 14 juli;1,469;1,136;0,552
2016 vrijdag 15 juli;1,468;1,136;0,547
2016 zaterdag 16 juli;1,464;1,131;0,544
2016 zondag 17 juli;1,466;1,132;0,547
2016 maandag 18 juli;1,468;1,133;0,551
2016 dinsdag 19 juli;1,467;1,13;0,546
2016 woensdag 20 juli;1,466;1,127;0,548
2016 donderdag 21 juli;1,465;1,126;0,549
2016 vrijdag 22 juli;1,467;1,13;0,543
2016 zaterdag 23 juli;1,462;1,126;0,544
2016 zondag 24 juli;1,466;1,126;0,539
2016 maandag 25 juli;1,464;1,128;0,54
2016 dinsdag 26 juli;1,462;1,123;0,546
2016 woensdag 27 juli;1,459;1,12;0,548
2016 donderdag 28 juli;1,456;1,114;0,545
2016 vrijdag 29 juli;1,454;1,111;0,548
2016 zaterdag 30 juli;1,45;1,101;0,541
2016 zondag 31 juli;1,452;1,102;0,534
2016 maandag 1 augustus;1,451;1,102;0,541
2016 dinsdag 2 augustus;1,445;1,1;0,543
2016 woensdag 3 augustus;1,445;1,093;0,546
2016 donderdag 4 augustus;1,443;1,09;0,548
2016 vrijdag 5 augustus;1,445;1,089;0,548
2016 zaterdag 6 augustus;1,445;1,088;0,531
2016 zondag 7 augustus;1,448;1,089;0,541
2016 maandag 8 augustus;1,45;1,092;0,542
2016 dinsdag 9 augustus;1,454;1,098;0,538
2016 woensdag 10 augustus;1,453;1,104;0,547
2016 donderdag 11 augustus;1,455;1,107;0,538
2016 vrijdag 12 augustus;1,457;1,109;0,55
2016 zaterdag 13 augustus;1,456;1,108;0,542
2016 zondag 14 augustus;1,457;1,11;0,537
2016 maandag 15 augustus;1,459;1,113;0,543
2016 dinsdag 16 augustus;1,463;1,12;0,538
2016 woensdag 17 augustus;1,465;1,125;0,534
2016 donderdag 18 augustus;1,464;1,129;0,543
2016 vrijdag 19 augustus;1,472;1,135;0,55
2016 zaterdag 20 augustus;1,481;1,142;0,531
2016 zondag 21 augustus;1,482;1,143;0,534
2016 maandag 22 augustus;1,483;1,146;0,535
2016 dinsdag 23 augustus;1,484;1,147;0,535
2016 woensdag 24 augustus;1,484;1,147;0,529
2016 donderdag 25 augustus;1,483;1,147;0,535
2016 vrijdag 26 augustus;1,485;1,148;0,536
2016 zaterdag 27 augustus;1,484;1,146;0,535
2016 zondag 28 augustus;1,485;1,147;0,547
2016 maandag 29 augustus;1,486;1,149;0,539
2016 dinsdag 30 augustus;1,487;1,15;0,538
2016 woensdag 31 augustus;1,492;1,154;0,547
2016 donderdag 1 september;1,491;1,155;0,546
2016 vrijdag 2 september;1,494;1,157;0,548
2016 zaterdag 3 september;1,487;1,149;0,545
2016 zondag 4 september;1,489;1,151;0,547
2016 maandag 5 september;1,49;1,153;0,545
2016 dinsdag 6 september;1,486;1,153;0,552
2016 woensdag 7 september;1,489;1,153;0,551
2016 donderdag 8 september;1,488;1,154;0,564
2016 vrijdag 9 september;1,498;1,156;0,557
2016 zaterdag 10 september;1,498;1,154;0,56
2016 zondag 11 september;1,5;1,155;0,552
2016 maandag 12 september;1,502;1,158;0,555
2016 dinsdag 13 september;1,502;1,156;0,554
2016 woensdag 14 september;1,501;1,154;0,558
2016 donderdag 15 september;1,499;1,153;0,557
2016 vrijdag 16 september;1,496;1,15;0,556
2016 zaterdag 17 september;1,492;1,145;0,558
2016 zondag 18 september;1,495;1,147;0,547
2016 maandag 19 september;1,496;1,149;0,556
2016 dinsdag 20 september;1,494;1,148;0,558
2016 woensdag 21 september;1,492;1,145;0,555
2016 donderdag 22 september;1,49;1,145;0,555
2016 vrijdag 23 september;1,493;1,147;0,561
2016 zaterdag 24 september;1,486;1,145;0,556
2016 zondag 25 september;1,49;1,147;0,557
2016 maandag 26 september;1,489;1,149;0,558
2016 dinsdag 27 september;1,476;1,135;0,565
2016 woensdag 28 september;1,477;1,138;0,566
2016 donderdag 29 september;1,475;1,136;0,567
2016 vrijdag 30 september;1,482;1,144;0,571
2016 zaterdag 1 oktober;1,484;1,151;0,573
2016 zondag 2 oktober;1,486;1,153;0,569
2016 maandag 3 oktober;1,489;1,156;0,571
2016 dinsdag 4 oktober;1,494;1,165;0,576
2016 woensdag 5 oktober;1,501;1,171;0,573
2016 donderdag 6 oktober;1,509;1,18;0,581
2016 vrijdag 7 oktober;1,513;1,185;0,573
2016 zaterdag 8 oktober;1,512;1,183;0,573
2016 zondag 9 oktober;1,514;1,184;0,57
2016 maandag 10 oktober;1,515;1,187;0,58
2016 dinsdag 11 oktober;1,522;1,194;0,58
2016 woensdag 12 oktober;1,523;1,195;0,581
2016 donderdag 13 oktober;1,522;1,195;0,58
2016 vrijdag 14 oktober;1,524;1,196;0,587
2016 zaterdag 15 oktober;1,52;1,192;0,573
2016 zondag 16 oktober;1,523;1,192;0,568
2016 maandag 17 oktober;1,524;1,196;0,577
2016 dinsdag 18 oktober;1,524;1,2;0,581
2016 woensdag 19 oktober;1,524;1,203;0,59
2016 donderdag 20 oktober;1,523;1,205;0,584
2016 vrijdag 21 oktober;1,525;1,206;0,586
2016 zaterdag 22 oktober;1,521;1,203;0,586
2016 zondag 23 oktober;1,523;1,204;0,578
2016 maandag 24 oktober;1,524;1,206;0,585
2016 dinsdag 25 oktober;1,525;1,211;0,59
2016 woensdag 26 oktober;1,528;1,214;0,586
2016 donderdag 27 oktober;1,529;1,214;0,588
2016 vrijdag 28 oktober;1,533;1,216;0,591
2016 zaterdag 29 oktober;1,526;1,212;0,584
2016 zondag 30 oktober;1,528;1,213;0,582
2016 maandag 31 oktober;1,529;1,214;0,589
2016 dinsdag 1 november;1,525;1,211;0,59
2016 woensdag 2 november;1,522;1,206;0,589
2016 donderdag 3 november;1,514;1,198;0,591
2016 vrijdag 4 november;1,513;1,192;0,594
2016 zaterdag 5 november;1,504;1,184;0,59
2016 zondag 6 november;1,507;1,185;0,59
2016 maandag 7 november;1,508;1,188;0,584
2016 dinsdag 8 november;1,505;1,183;0,597
2016 woensdag 9 november;1,502;1,177;0,593
2016 donderdag 10 november;1,495;1,176;0,598
2016 vrijdag 11 november;1,495;1,177;0,597
2016 zaterdag 12 november;1,491;1,172;0,592
2016 zondag 13 november;1,491;1,173;0,585
2016 maandag 14 november;1,494;1,176;0,591
2016 dinsdag 15 november;1,488;1,172;0,592
2016 woensdag 16 november;1,485;1,168;0,598
2016 donderdag 17 november;1,482;1,166;0,597
2016 vrijdag 18 november;1,489;1,172;0,601
2016 zaterdag 19 november;1,489;1,173;0,599
2016 zondag 20 november;1,492;1,174;0,6
2016 maandag 21 november;1,493;1,177;0,601
2016 dinsdag 22 november;1,495;1,186;0,605
2016 woensdag 23 november;1,499;1,191;0,596
2016 donderdag 24 november;1,499;1,197;0,605
