Perioden;Benzine;Diesel;Lpg
2006 vrijdag 29 september;1,3;1,008;0,515
2006 zaterdag 30 september;1,3;1,01;0,516
2006 zondag 1 oktober;1,299;1,009;0,518
2006 maandag 2 oktober;1,3;1,01;0,518
2006 dinsdag 3 oktober;1,301;1,013;0,52
2006 woensdag 4 oktober;1,291;1,005;0,513
2006 donderdag 5 oktober;1,287;0,999;0,509
2006 vrijdag 6 oktober;1,285;0,999;0,51
2006 zaterdag 7 oktober;1,291;1,004;0,51
2006 zondag 8 oktober;1,289;1,004;0,509
2006 maandag 9 oktober;1,291;1,004;0,512
2006 dinsdag 10 oktober;1,296;1,01;0,51
2006 woensdag 11 oktober;1,297;1,013;0,508
2006 donderdag 12 oktober;1,295;1,012;0,509
2006 vrijdag 13 oktober;1,291;1,013;0,507
2006 zaterdag 14 oktober;1,29;1,014;0,506
2006 zondag 15 oktober;1,289;1,014;0,504
2006 maandag 16 oktober;1,29;1,015;0,502
2006 dinsdag 17 oktober;1,291;1,019;0,505
2006 woensdag 18 oktober;1,296;1,028;0,506
2006 donderdag 19 oktober;1,295;1,027;0,512
2006 vrijdag 20 oktober;1,294;1,022;0,51
2006 zaterdag 21 oktober;1,295;1,017;0,504
2006 zondag 22 oktober;1,294;1,016;0,509
2006 maandag 23 oktober;1,295;1,017;0,511
2006 dinsdag 24 oktober;1,286;1,007;0,509
2006 woensdag 25 oktober;1,285;1,005;0,509
2006 donderdag 26 oktober;1,286;1,006;0,51
2006 vrijdag 27 oktober;1,288;1,009;0,507
2006 zaterdag 28 oktober;1,289;1,008;0,509
2006 zondag 29 oktober;1,287;1,008;0,506
2006 maandag 30 oktober;1,29;1,009;0,507
2006 dinsdag 31 oktober;1,292;1,006;0,509
2006 woensdag 1 november;1,286;0,997;0,509
2006 donderdag 2 november;1,284;0,994;0,508
2006 vrijdag 3 november;1,279;0,993;0,506
2006 zaterdag 4 november;1,275;0,991;0,507
2006 zondag 5 november;1,275;0,99;0,508
2006 maandag 6 november;1,275;0,991;0,506
2006 dinsdag 7 november;1,283;0,999;0,503
2006 woensdag 8 november;1,288;0,999;0,502
2006 donderdag 9 november;1,286;0,997;0,503
2006 vrijdag 10 november;1,293;1;0,504
2006 zaterdag 11 november;1,292;0,997;0,503
2006 zondag 12 november;1,294;0,999;0,506
2006 maandag 13 november;1,295;1,001;0,506
2006 dinsdag 14 november;1,295;0,997;0,502
2006 woensdag 15 november;1,295;0,994;0,503
2006 donderdag 16 november;1,295;0,994;0,505
2006 vrijdag 17 november;1,301;1,003;0,501
2006 zaterdag 18 november;1,29;0,995;0,504
2006 zondag 19 november;1,29;0,994;0,503
2006 maandag 20 november;1,289;0,995;0,501
2006 dinsdag 21 november;1,285;0,992;0,503
2006 woensdag 22 november;1,292;0,998;0,506
2006 donderdag 23 november;1,293;0,999;0,508
2006 vrijdag 24 november;1,294;0,997;0,512
2006 zaterdag 25 november;1,29;0,993;0,507
2006 zondag 26 november;1,289;0,992;0,508
2006 maandag 27 november;1,29;0,992;0,51
2006 dinsdag 28 november;1,288;0,991;0,511
2006 woensdag 29 november;1,292;0,995;0,507
2006 donderdag 30 november;1,297;0,999;0,507
2006 vrijdag 1 december;1,307;1,009;0,507
2006 zaterdag 2 december;1,309;1,012;0,506
2006 zondag 3 december;1,309;1,012;0,504
2006 maandag 4 december;1,31;1,012;0,507
2006 dinsdag 5 december;1,309;1,007;0,507
2006 woensdag 6 december;1,308;1,001;0,503
2006 donderdag 7 december;1,307;0,998;0,501
2006 vrijdag 8 december;1,307;0,996;0,504
2006 zaterdag 9 december;1,306;0,996;0,503
2006 zondag 10 december;1,306;0,996;0,5
2006 maandag 11 december;1,306;0,997;0,502
2006 dinsdag 12 december;1,303;0,994;0,505
2006 woensdag 13 december;1,3;0,991;0,504
2006 donderdag 14 december;1,298;0,989;0,502
2006 vrijdag 15 december;1,302;0,991;0,501
2006 zaterdag 16 december;1,312;0,999;0,504
2006 zondag 17 december;1,312;0,998;0,508
2006 maandag 18 december;1,313;1;0,5
2006 dinsdag 19 december;1,314;0,999;0,503
2006 woensdag 20 december;1,307;0,988;0,507
2006 donderdag 21 december;1,305;0,986;0,503
2006 vrijdag 22 december;1,306;0,986;0,502
2006 zaterdag 23 december;1,309;0,985;0,505
2006 zondag 24 december;1,308;0,986;0,5
2006 maandag 25 december;1,306;0,984;0,501
2006 dinsdag 26 december;1,308;0,986;0,502
2006 woensdag 27 december;1,308;0,986;0,505
2006 donderdag 28 december;1,308;0,985;0,501
2006 vrijdag 29 december;1,306;0,985;0,504
2006 zaterdag 30 december;1,31;0,988;0,504
2006 zondag 31 december;1,31;0,988;0,499
2007 maandag 1 januari;1,318;0,992;0,506
2007 dinsdag 2 januari;1,319;0,993;0,504
2007 woensdag 3 januari;1,324;0,993;0,504
2007 donderdag 4 januari;1,326;0,992;0,501
2007 vrijdag 5 januari;1,322;0,988;0,503
2007 zaterdag 6 januari;1,314;0,974;0,502
2007 zondag 7 januari;1,313;0,972;0,499
2007 maandag 8 januari;1,313;0,973;0,501
2007 dinsdag 9 januari;1,314;0,973;0,502
2007 woensdag 10 januari;1,314;0,972;0,506
2007 donderdag 11 januari;1,312;0,971;0,502
2007 vrijdag 12 januari;1,308;0,969;0,501
2007 zaterdag 13 januari;1,299;0,964;0,502
2007 zondag 14 januari;1,298;0,964;0,499
2007 maandag 15 januari;1,298;0,964;0,502
2007 dinsdag 16 januari;1,297;0,961;0,502
2007 woensdag 17 januari;1,295;0,961;0,5
2007 donderdag 18 januari;1,288;0,958;0,5
2007 vrijdag 19 januari;1,286;0,957;0,496
2007 zaterdag 20 januari;1,284;0,957;0,498
2007 zondag 21 januari;1,283;0,955;0,496
2007 maandag 22 januari;1,284;0,956;0,498
2007 dinsdag 23 januari;1,286;0,959;0,498
2007 woensdag 24 januari;1,291;0,964;0,488
2007 donderdag 25 januari;1,297;0,968;0,49
2007 vrijdag 26 januari;1,303;0,97;0,488
2007 zaterdag 27 januari;1,302;0,97;0,489
2007 zondag 28 januari;1,301;0,97;0,486
2007 maandag 29 januari;1,302;0,97;0,487
2007 dinsdag 30 januari;1,302;0,971;0,488
2007 woensdag 31 januari;1,301;0,969;0,49
2007 donderdag 1 februari;1,307;0,977;0,492
2007 vrijdag 2 februari;1,308;0,98;0,493
2007 zaterdag 3 februari;1,31;0,983;0,488
2007 zondag 4 februari;1,31;0,984;0,493
2007 maandag 5 februari;1,312;0,984;0,495
2007 dinsdag 6 februari;1,316;0,99;0,495
2007 woensdag 7 februari;1,321;0,998;0,496
2007 donderdag 8 februari;1,322;0,998;0,495
2007 vrijdag 9 februari;1,322;0,996;0,495
2007 zaterdag 10 februari;1,322;0,996;0,493
2007 zondag 11 februari;1,321;0,995;0,496
2007 maandag 12 februari;1,322;0,996;0,497
2007 dinsdag 13 februari;1,323;0,997;0,498
2007 woensdag 14 februari;1,321;0,992;0,504
2007 donderdag 15 februari;1,32;0,989;0,503
2007 vrijdag 16 februari;1,32;0,988;0,504
2007 zaterdag 17 februari;1,319;0,982;0,503
2007 zondag 18 februari;1,318;0,981;0,5
2007 maandag 19 februari;1,318;0,981;0,503
2007 dinsdag 20 februari;1,322;0,982;0,502
2007 woensdag 21 februari;1,324;0,982;0,499
2007 donderdag 22 februari;1,326;0,982;0,505
2007 vrijdag 23 februari;1,336;0,988;0,5
